CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0014-46,22-013,JUTIAPA,JUTIAPA,ESCUELA NACIÓNAL DE CIENCIAS COMERCIALES,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",78441241,RONY ESMELTZER RAMOS QUIÑONEZ,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0015-46,,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACIÓN DIVERSIFICADA COLEGIO MODERNO JUTIAPANECO,3A. AVENIDA 4-66 ZONA 1,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0017-46,22-003,JUTIAPA,JUTIAPA,COLEGIO TECNICO PROFESIONAL SAN CRISTOBAL,7A. CALLE 5-30 ZONA 1,78441530,SANDRA NINETH BONILLA ARCHILA,DELMY MENDEZ DE MONTEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0018-46,99-001,JUTIAPA,JUTIAPA,INSTITUTO TECNICO DE CIENCIAS ADMINISTRATIVAS Y COMPUTACIÓN INTECIADCOM,7A. AV. 8-80 ZONA 1 BARRIO LATINO,78442122,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0020-46,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO DE MAGISTERIO,1A. AVENIDA 4-64 ZONA 1,78442157,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ISRAEL JOSUE VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0022-46,22-003,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACIÓN DIVERSIFICADA DE MERCADOTECNIA Y PUBLICIDAD DE ORIENTE,5A. AV. 7-35 ZONA 1,78441530,SANDRA NINETH BONILLA ARCHILA,LUIS ANÍBAL MONTEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0221-46,22-009,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO INTEGRAL EVOLUCIÓN,7A. CALLE 8A. AVENIDA 7-49 ZONA 3 BARRIO EL CHAPARRON,78443090,CARLOS HUMBERTO CRUZ ALAY,MILDRED ESPERANZA VILLANUEVA DE FLORIAN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0254-46,22-001,JUTIAPA,JUTIAPA,LICEO CREZCO APRENDIENDO,"7A. CALLE ENTRE 6A. Y 7A. AVENIDA ZONA 3, BARRIO EL CHAPARRON",78442263,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,CESAR GEOVANNI RAMOS RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0256-46,22-007,JUTIAPA,JUTIAPA,ESCUELA DE ESTUDIOS PENITENCIARIOS,"3ERA. BRIGADA MILITAR DE INFANTERIA, ALDEA CERRO GORDO",,CARLOS OSWALDO GARCIA GRAJEDA,JULIO MARTIN CASTELLANOS PEÑA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGÜE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0261-46,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO EL PILAR,5TA. CALLE 5-09 ZONA 1,78446397,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,SILVIA LILIANA AMAYA RIVERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0262-46,22-001,JUTIAPA,JUTIAPA,LICEO JUTIAPA,4TA. CALLE 1-53 ZONA 1,78441008,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ALVARO CISNEROS QUIÑONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0270-46,22-003,JUTIAPA,JUTIAPA,COLEGIO EL BOSQUE,ALDEA EL CHILTEPE,78442277,SANDRA NINETH BONILLA ARCHILA,INGRID CAROL JUAREZ DOMINGUEZ DE SALGUERO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0275-46,22-001,JUTIAPA,JUTIAPA,INSTITUTO TECNOLOGICO BILINGÜE,9A. AVE. 7-59 ZONA 1,78442338,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,OSIEL DIONICIO VIVAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0277-46,22-003,JUTIAPA,JUTIAPA,INSTITUTO TECNOLOGICO DE COMPUTACIÓN DE ORIENTE ITCO,2A. AVENIDA 4-44 ZONA 1,78442213,SANDRA NINETH BONILLA ARCHILA,MAURO ENRIQUE AZMITIA AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0295-46,22-013,JUTIAPA,JUTIAPA,INSTITUTO NACIÓNAL DE EDUCACIÓN DIVERSIFICADA,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR.",58436203,RONY ESMELTZER RAMOS QUIÑONEZ,MARTA LUISA BONILLA GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0300-46,22-003,JUTIAPA,JUTIAPA,COLEGIO PARA TRABAJADORES PROF. CARLOS ARMANDO CÁMBARA GARCÍA,"ENTRADA AL COMPLEJO EDUCATIVO, 0-16 ZONA 3",58251449,SANDRA NINETH BONILLA ARCHILA,EDGAR ARNULFO GONZALEZ GUDIEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0301-46,22-001,JUTIAPA,JUTIAPA,LICEO BILINGÜE INTERAMERICANO,"KILOMETRO 117 CARRETERA INTERAMERICANA, BARRIO INTERAMERICANO",48300052,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ZOILA IRENE ESTRADA Y ESTRADA DE MOLINA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0302-46,22-001,JUTIAPA,JUTIAPA,INSTITUTO TÉCNICO PARTICULAR DE DIVERSIFICADO INTECPADI,5TA. CALLE 5-43 ZONA 1,78442296,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,RONI ERNESTO RECINOS ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),JUTIAPA
